encounter_id,date_iso,latitude_s,longitude_e,visual_group_size,behavior_label_set,sampling_frequency_khz,bit_depth,duration_mmss,call_categories,n_call_categories,n_individuals_identified,label_source,citation_key,notes
Wellard_2012-12-26_E01,2012-12-26,77.62,165.18,125,"F,S",96,24,22:54.4,"McM1|McM1a|McM2|McM3|McM3a|McM5|McM5a|McM6|McM7|McM8|McM9|McM10|McM14|McM20|McM21",15,65,Wellard2020_paper_table,wellard2020_appendix2,"Appendix 2 Table 1; recording-level observed context."
Wellard_2012-12-29_E01,2012-12-29,77.62,165.18,19,"F,S",96,24,26:44.6,"McM3|McM3a|McM5|McM5a|McM15|McM15a|McM16|McM20",8,19,Wellard2020_paper_table,wellard2020_appendix2,"Appendix 2 Table 1; McM3a spelling normalized from extracted PDF text."
Wellard_2013-01-03_E01,2013-01-03,77.32,164.56,35,"T,S",96,24,06:46.9,McM10,1,31,Wellard2020_paper_table,wellard2020_appendix2,"Appendix 2 Table 1; recording-level observed context."
Wellard_2013-01-04_E01,2013-01-04,77.35,165.5,63,"T,S,F,M",96,24,05:34.9,"McM1|McM1a|McM2|McM3|McM7|McM8|McM10|McM11|McM14|McM17",10,63,Wellard2020_paper_table,wellard2020_appendix2,"Appendix 2 Table 1; recording-level observed context."
Wellard_2013-01-08_E01,2013-01-08,77.36,165.39,8,T,96,24,15:16.4,"McM3|McM4|McM5|McM14|McM20|McM21|McM24",7,7,Wellard2020_paper_table,wellard2020_appendix2,"Appendix 2 Table 1; same-date encounter, requires duration-matched recording grouping."
Wellard_2013-01-08_E02,2013-01-08,77.4,164.95,12,"T,F",96,24,22:06.2,"McM3|McM3a|McM5|McM10|McM14|McM17|McM20|McM21|McM23",9,6,Wellard2020_paper_table,wellard2020_appendix2,"Appendix 2 Table 1; same-date encounter, requires duration-matched recording grouping."
Wellard_2013-01-09_E01,2013-01-09,77.31,164.54,50,"T,F,M",96,24,47:36.3,"McM1|McM1a|McM2|McM3|McM3a|McM4|McM5|McM5a|McM7|McM9|McM10|McM13|McM14|McM15|McM15a|McM18|McM19|McM20|McM21|McM22|McM24",21,46,Wellard2020_paper_table,wellard2020_appendix2,"Appendix 2 Table 1; recording-level observed context."
Wellard_2013-01-11_E01,2013-01-11,77.35,165.43,21,T,44.1,24,53:08.0,"McM7|McM11|McM12|McM14|McM21|McM24",6,21,Wellard2020_paper_table,wellard2020_appendix2,"Appendix 2 Table 1; same-date encounter, requires duration-matched recording grouping."
Wellard_2013-01-11_E02,2013-01-11,77.36,165.5,59,"T,S,F,M",44.1,24,13:03.3,"McM7|McM8|McM9|McM10|McM20|McM21",10,59,Wellard2020_paper_table,wellard2020_appendix2,"Appendix 2 Table 1; call-category list is truncated by PDF extraction, behavior/context fields are intact."
