population,deployment,tagID,sex,divenum,maxdep,durwho,kindet,bzsounds,sc,context
NRKW,oo09_234a,244,M,200,5.95079292,27.8,0,0,0,non_foraging
NRKW,oo09_234a,244,M,201,5.904216008,29.8,0,0,0,non_foraging
NRKW,oo09_234a,244,M,204,26.06329106,93.8,0,0,0,non_foraging
NRKW,oo09_234a,244,M,208,17.32692749,102.4,0,0,1,non_foraging
NRKW,oo09_234a,244,M,212,4.754158289,25.2,0,0,0,non_foraging
NRKW,oo09_234a,244,M,214,5.393112327,32.8,0,0,0,non_foraging
NRKW,oo09_234a,244,M,222,40.71875656,106.2,0,0,1,foraging
NRKW,oo09_234a,244,M,228,7.351100654,69.4,0,0,1,non_foraging
NRKW,oo09_234a,244,M,233,46.28931355,92.6,0,0,1,foraging
NRKW,oo09_234a,244,M,234,4.149268998,19.0,0,0,1,non_foraging
NRKW,oo09_234a,244,M,242,11.80972427,85.2,0,0,1,non_foraging
NRKW,oo09_234a,244,M,245,8.312387933,49.8,0,0,1,non_foraging
NRKW,oo09_234a,244,M,248,53.78087123,82.8,0,0,1,foraging
NRKW,oo09_234a,244,M,251,6.443205637,50.2,0,0,1,non_foraging
NRKW,oo09_234a,244,M,254,226.0756019,290.2,1,0,0,foraging
NRKW,oo09_234a,244,M,264,17.50297693,103.2,0,0,1,non_foraging
NRKW,oo09_234a,244,M,266,3.77815759,16.0,0,0,1,non_foraging
NRKW,oo09_234a,244,M,271,143.3505398,278.2,1,0,1,foraging
NRKW,oo09_234a,244,M,287,82.1281663,145.2,1,0,1,foraging
NRKW,oo09_234a,244,M,290,101.6922405,154.0,1,0,1,foraging
NRKW,oo09_234a,244,M,291,20.39937944,45.0,0,0,1,non_foraging
NRKW,oo09_234a,244,M,313,83.6244544,131.8,0,0,1,foraging
NRKW,oo09_234a,244,M,326,8.806801155,19.8,0,0,0,non_foraging
NRKW,oo09_234a,244,M,332,4.375035688,9.8,0,0,0,non_foraging
NRKW,oo09_234a,244,M,346,179.2965369,285.0,1,0,1,foraging
NRKW,oo09_235a,243,F,14,3.900687623,16.2,0,0,0,non_foraging
NRKW,oo09_235a,243,F,15,136.0568597,286.2,1,0,1,foraging
NRKW,oo09_235a,243,F,20,2.472394357,9.8,0,0,0,non_foraging
NRKW,oo09_235a,243,F,22,3.103768795,10.4,0,0,0,non_foraging
